exporter	gdppc_start	gdppc_end	gdppcppp_start	gdppcppp_end	nat_res_share_increase	export_share_increase	regqual	govteffectiv	polstab	rulelaw	corrupt	voice	diversity_rca	diversity_rpop	eci_rca	eci_rpop	fitness12_rca	fitness12_rpop	ann_rca	ann_rpop	var_rca	var_rpop	moran_rca	moran_rpop
ABW	26647.938100985	29007.6930034887	36444.2620573183	38442.4138382323	-4.067508285639999e-06	-0.042234407684966016	1.35282218456268	1.153897136449813	1.2566033601760875	1.24627834558487	1.0896207690238948	1.2775	35	267	0.1225846517121906	0.8387878925619124	0.1035066620122053	0.7454918280915097	1.276049731521405	0.6545593396083399	0.3088101407987463	0.9488284105077368	0.0065200532765317	0.0074015387677544
AFG	613.856689167623	519.884773089339	2069.42464180385	2058.3838315796	0.0016265881397041204		-1.2612558901309976	-1.3812381923198698	-2.4627596735954302	-1.6456894576549526	-1.447653114795685	-1.2475	73	20	-0.8652560852232174	-1.6565643472289298	0.2058333574898057	0.00358234280811	1.130573871606538	2.0463436253142464	0.1478939533191088	0.069056757662982	0.0230117154994536	0.0004273481231147
AGO	5408.41049555432	4095.81294155857	8179.29600657648	7310.90173803536	-0.07228571306277999	-0.15690931198326102	-1.027559220790864	-1.1225069314241414	-0.370756469666958	-1.230242401361465	-1.34161612391472	-1.1175000000000002	8	11	-1.2055062760775794	-0.984399678912662	4.41029806448811e-05	0.0011160585472759	2.524447044986547	2.0982736370674013	0.0444650277953182	0.0742497862789442	0.0059236953780058	0.0059796857446103
ALB	4578.6319939825	4531.02080555986	11259.2967004521	12811.7594357276	-0.019683294935667298	0.033568418039925024	0.2159534730017185	-0.21962112374603776	0.037976251915097514	-0.4578918144106865	-0.664077803492546	0.0675	147	164	-0.3116049018882927	0.0637878530942989	0.5314689395166934	0.2532600399159826	0.8716093410497049	0.9653535308552296	0.2681930293138596	0.2813315188408963	0.031767631316463	0.0209525830016544
ARE	43751.8388860721	40644.804043392	73619.1005840251	67183.6265568253	-0.10638565150046	0.00034108133345000624	0.7245698794722557	1.204190611839295	0.8597820699214935	0.5788842141628268	1.1813674569129924	-0.995	95	901	0.1902549693910226	0.7996574522437463	0.3737233451575665	3.0800787997149683	0.8225332276450421	0.2760508064087977	0.3999908473838774	1.131100457685146	0.0096482395960741	0.0111888453501865
ARG	12334.7982453893	14613.0418246696	19683.7715056442	23597.1177528578	-0.017449279067447202	-0.030851952296576002	-0.9207362234592444	-0.1988288704305885	0.08055664983112375	-0.7085713744163512	-0.445799969136715	0.3175	159	303	0.2491320859767645	0.5126835886223504	0.8766404052730389	0.7998838259516383	0.7299181037223552	0.7306703717222864	0.330553819463864	0.5490523573054519	0.0241229221092417	0.0166898474539889
ARM	3986.23162376713	3914.5012684128	10036.8898405952	12115.0570089389	0.0255395034493	0.09655663999501801	0.27214379981160175	-0.07506742328405375	-0.023956166580319502	-0.39224939048290225	-0.5751545131206512	-0.6024999999999999	100	92	0.2497007903807488	0.1253132833328921	0.5100145917242238	0.1631249033332158	0.8059287240524817	1.0710213951874252	0.3045149772065462	0.2742392066467666	0.0101153469109139	0.0049314732251995
AUS	62510.7911705641	54027.9668184568	46880.2206571585	48633.1332207217	-0.0016352487379906932	0.0016629566275370067	1.8274130821228027	1.641093581914905	0.9992430657148368	1.80281749367714	1.9172954857349402	1.4375000000000002	108	700	-0.3500973355212131	0.7609171267261254	0.4390909503299246	2.208758246862225	0.999116190804197	0.3763986047773428	0.128080793486403	0.7786725518210034	0.0293459844459896	0.0159717654716571
AUT	51717.4959405515	47426.5119597773	48799.7154676985	54342.9478588847	-0.0006309776634094	0.00667121858985496	1.4713082015514374	1.5886741876602175	1.2922223806381226	1.8658948838710798	1.4617891311645526	1.4249999999999998	375	949	1.711729345450817	0.8728755243678541	4.001948530955949	3.5033768807505807	0.4890920975197195	0.3010987689617865	0.5647624758668313	1.113509029202114	0.0271999738939589	0.0141921447641508
AZE	7891.31314749986	4147.08971569171	17443.8782563093	14121.4069355591	-0.018208729679186	0.052743080742675016	-0.37825272977352153	-0.5966606140136718	-0.555164307355881	-0.7810786068439485	-1.072819188237192	-1.37	20	57	-1.1029549694639869	-0.2344384207987667	0.02457447207365	0.0623977367444407	1.710989584183789	1.284017606479281	0.058124947617247	0.1455269534933631	0.0078801440177936	0.0073643175780045
BEL	47700.5403601178	44192.6230270333	44929.685593416	50596.6427973359	-2.4805507781469996e-05	0.03392430076058886	1.229856818914415	1.561941385269165	0.8798718303442	1.4518572092056272	1.60757866501808	1.3550000000000002	361	988	1.2320035877718651	0.803999172028867	3.3038485454884903	3.576322321971475	0.4531461258761444	0.2473888859076386	0.472573360531275	1.0325010911006205	0.022015416506162	0.0038050814721843
BEN	1291.40980818577	1136.59284704681	2833.41192647339	3044.51388698516	0.003669204547347702	-0.042252463416356	-0.427891030907631	-0.5018605738878252	0.2527632736600935	-0.5764148458838463	-0.715059697628021	0.18000000000000002	60	24	-0.8694197561837589	-1.4084974637864012	0.0936030559168824	0.006554222282589	1.1989678247913216	1.9208849619975397	0.2271094944904099	0.2516756725964656	0.0182898469078352	0.0015625482270061
BFA	792.846778432074	734.994429826895	1692.30439694524	2044.38187401171	0.03040889932398402	-0.004796185191039015	-0.19558281823992724	-0.6056766211986543	-0.669757351279259	-0.46836227178573575	-0.4586692675948145	-0.2975	47	18	-1.146868414734153	-2.9313291058001525	0.0725287805302197	0.0012013983458226	1.3278227269990068	2.654727284715076	0.2422228936199644	0.0134587326035398	0.017227395501273	0.0019646003441027
BGD	1118.8536634927	1563.91369862485	3367.99552513598	4161.08971339052	-0.005603385840421981	-0.039535523671313015	-0.9038216024637223	-0.779738873243332	-1.3268119841814041	-0.8265541791915892	-0.9277914762496937	-0.39999999999999997	82	48	-0.8278848708005752	-0.1711926634317616	0.2429849133753049	0.0469642193738561	1.3658190732174755	1.9224243871275093	0.1055318950223584	0.0653660976982475	0.0454441876663433	0.0337790153903744
BGR	7876.86646539994	8334.08172775332	17561.382132399	21455.5643632836	-0.00587411870568993	0.024738827255069963	0.5535782873630523	0.122014006599784	0.2327088955789805	-0.08634219970554124	-0.240584224462509	0.39	268	718	0.6094979122318307	0.7973071485232726	1.7857995681724472	2.3287022902310106	0.5081911273670728	0.3770249241194793	0.4667994072860014	1.0804272710867835	0.0194082905286304	0.0186370054916967
