prod	pci_rca	pci_rpop	complexity12_rca	complexity12_rpop
7002	0.9578525140320419	0.777233672068154	1.6542607491536132	2.1734826419039375
7003	0.17704648052421915	0.2887940668935568	0.904624137961937	0.22292192553285636
7004	0.8642537428412149	0.7527616373519053	3.8354937215353964	3.47380616590507
7005	-0.03821577032703563	-0.11945220160777809	0.5787772198623089	0.30040071814906716
7006	1.251818430892947	1.0002495616574048	3.232431775267507	2.8840342411069635
7007	0.7271096571992349	0.3851872748211665	0.9157243817153661	0.24324421481540898
7008	0.6871988966806802	0.6014985366363494	0.9951238814798048	1.4122932287024068
7009	1.2431809891866938	0.9850516239283644	3.8542715434019015	1.9325122371795262
7010	-0.42832856861345037	-0.6604552161156694	0.25292630071870503	0.15281144682435732
7013	0.10749535304038073	0.4092328253954152	0.7987700764097088	1.010444032466337
7014	1.0087482023810495	1.1472475181819886	2.285480450154865	3.9536723209805733
7016	0.5732017657165577	0.7636464284485028	3.8980247070571576	1.5429173896846569
7017	1.6952644854430603	0.9449605734138277	2.350239208534316	1.7581933642263203
7018	0.21883553276250042	0.721578354413168	2.007267681059929	1.6169227465004488
7019	0.5337183021505273	0.49051806316323354	0.12133957523708774	0.8828602133575658
7020	0.9454804700943273	0.8740311153346527	1.0955074515634753	1.7917380993232115
7101	-0.7621881920897108	-0.10529236466522317	0.31063207683559346	0.6597269926353422
7102	-1.089170822791058	-1.6507069279323452	0.0008073066501963582	0.045352846023393394
7103	-1.0355242046249824	-1.3354096586620998	0.26335425153709985	0.21287383073461252
7104	0.34777266405341406	-0.0048440553913123565	0.737504009022596	0.5198009069654089
7106	-0.48389048242415994	-0.41942871941557464	0.2661483264245656	0.4497051166584918
7108	-2.324942870696928	-3.7521346189885705	0.014052170062320872	0.004826008713960842
7110	0.9847474713857971	0.5085726089695417	1.3254594693110886	0.9114467393218079
7111	0.4662943542742374	0.4949001966767474	0.5532793652635097	1.1228330362101726
7112	-0.4304299425064094	-0.6419639203852606	0.09540200377263046	0.256151432946972
7113	0.12782716940438513	-0.049312434302346324	0.5909786993534352	0.5214832459135086
7114	-0.8673125524315359	-0.16684510082656706	0.430826711866204	0.14129248993735227
7115	0.4791654143873033	0.9421622734520773	1.8196889217295114	1.911991526110448
7116	-0.3879744941700008	0.35248135683752563	0.4148309972191077	0.6443545201475218
7117	-0.3576836247327473	0.10668416251909232	0.5656657883362067	0.5888976790788102
7201	-0.869045567418617	-0.34290008336395084	0.343250026943103	0.10897472015821781
7202	-0.9244562229843553	-0.527411849845844	0.059474575620496614	0.27625672158230696
7203	-1.6719415901447199	-0.15988349225911275	0.0018390822926934562	0.35662960542630706
7204	-0.8163771836495111	-1.9676248937142466	0.04174583540569706	0.014907907923770478
7205	0.5889395038021749	0.5716786788713211	1.2192323019089268	1.4053658244081257
7206	-1.1294960584026763	-0.3495573042686511	0.06653874820570709	0.24446801335846638
7207	-0.4754308447585164	-0.039651807653777175	0.13348615195243047	0.2560096602707625
7208	0.3092155540046851	0.09176543608961646	0.612983131805261	0.3469092716299283
7209	-0.17701493308320346	0.3744464757768845	0.37495757124420853	0.7899340026341001
7210	0.1257656127580491	0.27373228973719493	0.6058881170522896	0.9694917714458832
7211	1.004169581697894	0.8656773926957259	1.415685948717961	2.288378418599286
7212	0.7899682371534493	0.6894340398027434	0.9492968993806105	1.6165064922511332
7213	-0.19025993380522355	-0.2716995411814621	0.13866031899552503	0.1794777303967301
7214	-0.9737824640139057	-1.0866383315420702	0.16975777943008066	0.0954060006739307
7215	-0.18083202962997982	-0.39118246613251567	0.18778321537611095	0.18536264906135122
7216	-0.21518708968613	0.04127019757901373	0.3266141126928947	0.6603712363631612
7217	-0.261677084662371	-0.023042725328137555	0.19431411229037315	0.39146295567613765
7218	1.6182128642170455	0.8788225242048893	4.917855104643345	2.2327918917673473
7219	1.3428761222154402	1.0600467329869678	2.195957983412552	2.707285550691942
7220	1.3990089159228636	1.0026418853074237	2.5701808316262036	2.6532432215685264
7221	1.0037552162647352	0.611648895439188	2.133763667970815	2.136124046873404
7222	1.2035810096736759	0.584486763695701	0.7731411162152891	1.1355908779412238
7223	1.4377238339689482	0.6864562265349837	2.185263067378083	1.622444782371736
7224	0.782865383084316	0.6986747173456976	1.1226378422678684	1.9489234330149028
7225	1.549798358331067	0.9494091033738411	2.458409972946285	2.7670843590118097
7226	1.4550230666304413	1.0358095196771833	2.0428570543127504	2.870076070301466
7227	0.4265447114331591	0.7397025039024147	0.21283459173642127	2.192587545207934
7228	0.9722587285158779	0.5536461178565707	1.215117036861399	1.237861412143586
7229	1.4777148862525686	0.7030682267970452	2.9163235745520426	1.692197269556698
7301	0.10059450684681355	0.24833913178109293	0.048557317665469585	0.6048357553227337
7302	0.918168536980618	0.8575365176077575	1.4333593649078051	1.8232416506578202
7303	-0.2525520753145238	0.19569828339352063	0.33141364597084805	0.645591639162119
7304	0.9014191067997772	0.07526512533934737	0.9353690678775552	0.3034918455107709
7305	-0.05512085181767166	-0.18007398396730379	0.5994589243204613	0.265564934922171
7306	-0.5314500999014838	0.10944212846644374	0.2905014924582553	0.6810333832945485
7307	0.9015557632589984	0.6293097949871393	1.0539082687248478	1.0173491386734372
7308	0.2872889067016489	0.29103770991029354	0.4954739647229447	0.5992483107543005
7309	0.22217028709030331	0.0031449982532833006	0.38386449516993193	0.42387007100445817
7310	0.1077089246719854	-0.09286609718873723	0.4086695234677982	0.3891231716338241
7311	-0.27487945866202795	-0.17381861856402805	0.2977968839897935	0.2970327025635352
7312	0.4078041856900839	0.3824599072499237	0.7999877210730605	0.696404383832792
7314	-0.04850759098519214	0.3078822094818618	0.4671297138146354	0.9225093115986466
7315	1.0146693563409093	0.9370730031576321	1.2425358026363515	2.0200018176756944
7317	-0.4951924934419462	-0.14410827344257843	0.22217372799002091	0.18389356097499301
7318	1.4148478148171253	0.965352344118691	2.514461882313789	1.9583248154517572
7320	1.3023852465429229	0.8437540164913983	1.7093086674460614	1.8238513902883138
7321	0.270211720770232	0.43082949448429275	0.5968378812381887	1.0003298716881497
7322	0.8691518303936223	0.6696781221051789	1.176100022487734	1.5777113042663176
7323	-0.04583928632097599	0.4837656539734171	1.7290562373650018	1.0576804008457654
7324	0.46972851313438196	0.4517629012123422	1.4888148215761958	1.1041607070362232
7325	0.2586569548917194	0.09730802479208943	0.47235374583542494	0.5976644407816692
7326	0.7823899998714855	0.4008902201870325	1.232773699896743	0.6478570595421325
7401	-1.312204362530249	-1.4456698480315524	0.11689466581138086	0.1300717184788052
7402	-1.6593479036626613	-2.4325285864572486	0.1329284818136336	0.12160188811266827
7403	-1.4188197234399018	-0.7373966094077624	0.11270189379032507	0.13345360239432572
7404	-1.0259109780224074	-1.7645960822124072	0.04225152367541717	0.03869907131814983
7406	0.40795587030214003	0.3291957134108418	0.3821965225977519	0.18420847843465102
7407	0.06918319281903065	0.3072088683335822	0.650062322296862	0.9411703894633991
7408	-0.5032986447831146	-0.04177543116805083	0.4841570292755767	0.7250921206473989
7409	-0.22309793666249692	-0.09486822337589475	0.6067826715940328	0.6654209640446872
7410	0.739791247451155	0.5690388665076416	1.898841932664698	1.2910453388345569
7411	0.45598572498794704	0.683214820506825	1.2917943188775944	1.4790890466025115
7412	0.8646211934894581	0.9368004999031081	2.239271760536971	2.121587305373769
7413	0.17192369383335193	0.36597761765213593	1.0852474161106147	0.9077254983482836
7415	0.9852751594449427	0.6344148628518312	1.662522926324524	0.9277928357875452
7418	-0.07825637935052922	0.4648279382836603	0.7213384135317584	0.5734201149896709
7419	0.5218732686653904	0.06860938574492752	0.22886914909943545	0.48717269197298063
7501	-1.4259405660772866	-1.727222951360511	0.19203029016209655	0.31616623881996875
7502	-0.587033454907239	0.14136563005580122	0.22317855006350032	0.36255860345220003
7503	0.9375586766116286	0.37884848851568936	0.7830589244618924	0.798326920179933
7504	0.5585212196366526	0.6625941825722595	1.327501400690927	1.2574944096376537
7505	0.9277456239258766	0.9025856344478187	1.8730444683459744	3.0926973593018294
7506	0.5952194873915979	0.739911467310261	0.43587820015501666	1.008066890717053
7507	1.9010380721627622	0.9326230004271907	5.90024828464921	2.577304733364468
7508	0.14096150850539502	-0.08199696579628507	0.5134650404210241	0.13417216072265137
7601	-1.0677085946447635	-0.9305928287362449	0.032323147006955495	0.09620397956624538
7602	-0.8254287375017031	-1.6278152588745198	0.04519660061562294	0.0542651721819812
7603	0.6902556652917422	0.7204045938110237	1.4889942336455058	2.1379975333469883
7604	-0.11747955494103528	-0.15437696377472482	0.25429618209762916	0.3555829871212306
7605	-0.7509272064436101	-0.360652327765603	0.09549816388187203	0.12413664854387214
7606	0.6047498050752372	0.5615767437461595	0.5228902053413543	1.381176125112559
7607	0.8714077635919592	0.3952258740138611	0.7482765226028913	1.0022979982089013
7608	0.6985422482865973	0.5823159899962219	0.9821677722530227	1.2895284435236471
7609	0.3090944902005379	0.5686068816618243	0.6088871722979684	1.092847159641285
7610	0.4273830757038379	0.3340397971795949	0.41561767133286615	0.7953361588349158
7612	0.21882626723483875	0.04670199242875689	0.3970916283589359	0.4666321207791961
7614	-1.0737188576452517	-0.47156518040610734	0.08101395048028487	0.40141694249122706
7615	-0.22282180729865977	-0.23598015246463458	0.6039795909243937	0.3446806737036076
7616	0.6861313520690637	0.7596913687022578	1.201488774587573	1.194593196609798
7801	-1.2538315142328433	-1.5997248430009785	0.08199404016674101	0.06857297400370015
