prod	ann_rpop
0102	1.318013694794747
0104	1.343841045178895
0201	0.5016538275796556
0202	2.107914053089085
0807	1.446813317826787
4101	1.4471056487042913
4106	3.3350478095534757
0106	4.072594282095066
0204	1.2196318100581407
0401	0.4153476697750152
0403	0.5726670181729835
0406	0.7682994163781571
0409	0.9019756355202807
0504	1.7944825540153557
0701	0.962060938369989
0704	0.4217388336841498
0706	0.27260218786700013
0707	0.32582133094673904
0708	2.4307786168728
0709	1.2048000145271314
0805	2.044831218319178
0808	0.6796825998089175
0809	0.5555315940751765
0910	2.282198374976517
1207	10.66962040835597
2001	1.110762222153995
2002	0.4816449352665349
2503	2.6019534037735292
2510	4.72261420140808
2515	1.2035475412521277
2602	2.8015525598994504
2610	0.5258611814418863
2814	1.3311841019744926
3303	0.7536659353314803
4102	2.4436727688861706
4105	4.634785245288323
5101	0.8172542955855286
6801	0.6532951891568634
6802	0.9862261788233468
7402	0.7199028581896019
7602	2.514665186289558
5705	0.6500425831695125
2601	1.3576909826347607
4402	3.2063633208266626
4819	1.1033168694605904
7102	1.7182953589254828
7204	3.115227194212048
7404	2.563135781873543
7902	0.9643533433004133
0203	0.37591103306652585
0206	1.4432681744867246
0209	0.21781208532466045
0210	0.1643280450740681
0405	1.2166695136382826
1001	5.070443818678994
1004	0.1387521772123891
1007	0.8070403261861282
1107	0.7787033542874012
1201	0.8937263113543554
1204	0.46241850647117394
1205	0.42726826244012056
1206	0.6644646567999404
1208	0.5769451119483198
1501	0.05483931348714891
1502	0.568995328825575
1703	1.606704989592368
2301	3.085433730688892
2304	1.0634039391871903
2306	1.7047644544045426
2701	1.0200661558504551
3501	0.26342099990338375
2827	0.792501298376618
4416	0.2728570315007412
8606	0.2504331317083719
4903	0.21941721784304194
0806	2.098582231641118
1202	2.9597588346709984
1509	0.7901035378617396
2526	0.3455682561948494
2607	0.8005970996831061
3001	0.2132706407033532
4303	0.1518343453816563
4503	0.24896642665255755
5105	0.834848091112882
2937	0.14211563004150565
4301	0.3250103014784789
0101	0.2849965855610134
0208	0.33701807983554255
2604	0.38591826203679214
0103	0.10185880668923146
2003	0.15445540423032755
4504	0.393518368975305
8604	0.28497576744248343
8403	0.29568149980955416
4704	0.4672040251091049
4705	0.14825244010406527
6903	0.3669995245941195
0301	0.9861251046835452
0302	2.1324883703936606
0305	2.4773011890994603
0307	3.2244794362391898
1513	0.7897515196479874
1604	3.3418681686991976
8538	0.3342268838274718
0303	12.242668763155702
0304	2.666849820433012
0306	2.057232816854625
0511	1.149975592200867
0604	0.7982716359311335
0804	4.657691191794587
1504	2.508842862754247
1511	1.8162384177196793
1517	1.3015620649121387
1605	0.54326227703235
2603	1.6624714157658915
2709	13.366588811485459
3915	1.0554515363241366
7108	2.601575903069342
8902	1.4459614107449352
8903	2.6481915484764817
8905	2.557615630067091
8907	1.2901581539350633
0714	0.6100544185705918
1102	1.7020362330328187
1801	5.063588849716518
2008	1.551964447892278
2609	0.551032177359095
4403	4.177785679312072
4409	1.8714780913039113
7501	0.4076732888117246
8901	3.932750094452146
8904	1.8008867449056307
8906	1.3392438511589209
0801	6.062148203574033
5608	1.5496974484635273
0901	9.046839203168739
1301	7.759679306878052
2302	2.180891561165997
2523	2.7593478423951825
2606	3.318016023819023
0711	1.0568754537875258
0713	7.742807189202967
0904	2.0730120487012305
0908	2.813917089776345
2511	1.6580311131756142
2605	0.4857150212247662
2608	1.0491388830390056
2614	0.9090730811586227
2615	2.12336691445378
2616	1.071448089283232
3802	1.8444416320155104
4001	5.5630495291747
7103	1.4662634930376108
1211	4.423874754547537
3301	2.2634453484593493
7101	0.28045026168674775
0702	0.7661075184229037
0404	0.6405061273402267
3916	0.30026668733295336
0105	0.4473131433970902
0407	0.8124251950008303
0601	0.2518129724839199
0703	1.0023943261674975
0909	4.916902970308272
4104	1.8161634201415853
0603	2.3376222746139774
1105	0.5577276483557934
1804	1.6619311439373194
0810	0.7052999023746768
2401	18.774457918300705
4107	1.686318233324925
0705	0.15833414477677873
0802	2.298962220058729
0813	1.5545782171185893
2007	1.6339562784898862
1214	0.4240393839317692
1512	1.4010867104134705
2005	0.7147168163772776
5205	1.9499435675372756
6108	0.7016386769999291
6109	2.0044074644296908
6203	1.3945549106045385
6305	4.0716442353798845
7214	1.6554638358466949
2612	0.8440225296874501
3103	2.1813337578567866
5201	16.586169550895697
5701	3.6702136250502404
0712	0.5995308599122443
6904	0.25117748134205026
2702	0.12467572356079752
2716	0.3563741212015589
5702	0.7970926241805402
6807	0.47756344018099994
5601	0.6905571185326596
0803	4.497343255602304
1008	1.8982814173785576
1515	1.541070222725401
1701	10.956113366334469
4103	2.2066923435192893
1101	2.1273451260037723
1905	1.1886243415201514
2009	2.0791778511181715
2103	0.8084976099351155
2104	1.6662766821217048
2201	1.6436651341666138
2202	1.9244865308934247
2208	3.7222573803936823
2402	4.935993076686299
2501	1.7980615293223057
3401	1.9616097810943935
3923	0.9613230211160373
4707	0.6292693553505876
6103	0.8576965592764211
6105	1.5309660824474758
6106	1.4012623818468057
6107	0.9768976487244486
6114	1.2227560206697454
6206	1.101933524319713
6207	1.5422925448372022
6310	3.80953991431635
6401	1.2304993893675107
6810	0.4568591702741667
7112	0.7905049347535632
7801	2.5688047199119053
1404	3.7021972444081976
2520	1.202370708164883
6205	1.8462451128207948
0811	0.7104833195183288
5202	2.6741757672897157
1006	6.672974198717258
1212	2.6708636079420547
1803	2.1459478603542235
5401	0.4323431625192037
5503	0.6276576059627683
5504	0.15594499661327701
5508	0.3628705744838066
6704	1.4221716656725358
7221	0.13685071846625393
9108	0.051433290368373775
9111	0.14500599324947094
4014	1.6289096835380443
1805	1.5639986552650957
4407	4.234288627392335
5208	1.8624526023642154
5810	0.5010059107051343
8001	0.6381288326784024
5804	0.738608159797459
3203	0.6274409708719774
1302	1.3502032286280914
1516	1.1656149273402328
1704	2.524199909599805
5513	1.2699888013651621
5501	1.08597880607359
0710	0.6482933410598897
2403	2.088994210638259
7314	0.44491576628037066
2207	1.6893918167877515
6111	1.2368775480655796
0902	6.425755833971172
3702	0.1839572520361364
7111	0.07432077107112281
9201	0.29525861430967026
2711	5.1787477167574165
2837	3.1574110305129524
1902	2.402487735895341
6209	1.4855619403416178
4817	0.5639827517142839
1003	0.7335651918319414
1005	1.1733805123947452
1514	0.1654221714215268
6601	0.24660343387810726
0207	1.6872219383335771
1601	0.5140472235228284
8716	0.7174699711347511
3104	2.702138026863831
4401	1.0490319902366583
0505	0.19345658919069933
9302	0.8587405718209539
1520	0.5331140636320718
2844	0.6106772413017462
3002	0.5713070126593282
1108	0.5512865924872076
4201	0.26256638436128527
1104	0.7773619189255008
1103	2.1018081188167863
2203	0.9628770704689389
3814	0.7573339671064977
1901	2.302079549848411
1904	0.468324220308054
3502	0.24177438052400307
1507	2.4887757082864166
2613	0.6779131054367574
2923	0.2726029697514592
3503	0.449854362629288
3821	0.22223223582611906
4703	0.3552142644928317
