exporter	var_rca
ABW	0.30881014079874636
AFG	0.14789395331910887
AGO	0.044465027795318274
ALB	0.26819302931385963
ARE	0.3999908473838774
ARG	0.330553819463864
ARM	0.30451497720654624
AUS	0.12808079348640308
AUT	0.5647624758668313
AZE	0.058124947617247055
BEL	0.472573360531275
BEN	0.22710949449040996
BFA	0.24222289361996446
BGD	0.10553189502235848
BGR	0.46679940728600144
BHR	0.4203412676594585
BHS	0.2944418113000943
BIH	0.4925371609778067
BLR	0.5186924122980554
BMU	0.21798579020979025
BOL	0.1164483227835944
BRA	0.3235459270782279
BRN	0.019732938819455755
BWA	0.3716464735205827
CAN	0.4107107197250222
CHE	0.3287403355737434
CHL	0.23186519201192565
CHN	0.36107539632947333
CIV	0.3192760420918406
CMR	0.25574018177998903
COD	0.10191315400281332
COG	0.11766835735574604
COL	0.43317251602195117
CRI	0.4160426545303629
CUB	0.20766529596804897
CUW	0.2085993634647793
CYP	0.3170534690031696
CZE	0.5652244369869042
DEU	0.5579861682762051
DJI	0.37938484849109516
DNK	0.5539883115986395
DOM	0.4224729812480499
DZA	0.13913612544609485
ECU	0.19122656035605679
EGY	0.3847726215979039
ESP	0.4987825562517764
EST	0.528895549896584
ETH	0.11714961768458637
FIN	0.460053232617372
FJI	0.23939761175428517
FRA	0.47369354272794434
GAB	0.10743956078019826
GBR	0.5080108016521502
GEO	0.2343017897282298
GHA	0.17152647612103786
GIB	0.37699017607335394
GIN	0.06981069089284529
GNQ	0.042044450435002725
GRC	0.5062029368891805
GTM	0.4250131942103247
GUY	0.15262131743304252
HKG	0.2276153082867378
HND	0.3160424162654221
HRV	0.5654100028871774
HTI	0.1894097922257065
HUN	0.5440563528821319
IDN	0.20630799659426208
IND	0.2662151026680998
IRL	0.3197947702574887
IRN	0.25775478890239695
IRQ	0.025525654384083475
ISL	0.23702715251875575
ISR	0.40161971632323223
ITA	0.5417105051076725
JAM	0.3839717137342625
JOR	0.5049373671390275
JPN	0.3054752818451389
KAZ	0.1028732652962205
KEN	0.3858902415922853
KGZ	0.27482961122679744
KHM	0.14476385126668184
KOR	0.3255033411723013
KWT	0.439797346481128
LAO	0.07977952166356939
LBN	0.5357528191634751
LBR	0.10325333769584868
LBY	0.02555036719335418
LKA	0.20705912741015867
LTU	0.4904825272938509
LUX	0.5163833805989317
LVA	0.4801967489886631
MAC	0.306565853505831
MAR	0.16470448718026376
MDA	0.3543536962213752
MDG	0.11862603237058088
MEX	0.39895741330736634
MHL	0.10251495918554766
MKD	0.3851125847527066
MLI	0.19693979609123963
MLT	0.38017615991585485
MMR	0.06690792459739772
MNE	0.36645552168935164
MNG	0.09668607128295978
MOZ	0.183550057843743
MRT	0.09952791118394741
MUS	0.23391710863536522
MWI	0.35535896269472816
MYS	0.36221444827467386
NAM	0.25384568399173096
NCL	0.07787389299550898
NER	0.1341256863440193
NGA	0.07696118273972662
NIC	0.17372440761888824
NLD	0.4173968991991148
NOR	0.33552714942890577
NPL	0.38704903740514446
NZL	0.38771246841859236
OMN	0.2697640204906795
PAK	0.19365384304110322
PAN	0.3014922967425814
PER	0.25862476013240693
PHL	0.24506268968428915
PNG	0.046634999664786944
POL	0.5778202287516452
PRK	0.20919543712475064
PRT	0.5122399249896277
PRY	0.2520657376229358
PSE	0.4629160517956182
QAT	0.12131408132596756
ROU	0.47169899374604435
RUS	0.14997987111304023
SAU	0.1796655960433746
SDN	0.12055148305221874
SEN	0.2831855520210312
SGP	0.22515230307257478
SLV	0.4668661922547267
SRB	0.5082216461844967
SUR	0.2261828399939273
SVK	0.5515217716867606
SVN	0.6180902851990135
SWE	0.49888464324467174
SWZ	0.3246689511576523
SYR	0.3183015183969419
TCD	0.014079691095462896
TGO	0.26777725624945214
THA	0.4062373702072235
TJK	0.17245473938838507
TKM	0.05479975456089125
TTO	0.32887228757220444
TUN	0.39667121078692125
TUR	0.5042766080729432
TZA	0.2100602133136748
UGA	0.38986263725495796
UKR	0.37954219827108254
URY	0.3549048937849464
USA	0.4442607244232781
UZB	0.24455231710313163
VEN	0.08203952904294581
VGB	0.2454189737051855
VNM	0.22126033610595558
YEM	0.10599060731107782
ZAF	0.43295600149309627
ZMB	0.3621085423602039
ZWE	0.20990920753194608
