exporter	moran_rca
ABW	0.006520053276531758
AFG	0.023011715499453626
AGO	0.005923695378005871
ALB	0.03176763131646302
ARE	0.00964823959607417
ARG	0.024122922109241732
ARM	0.010115346910913904
AUS	0.029345984445989626
AUT	0.02719997389395899
AZE	0.00788014401779364
BEL	0.02201541650616202
BEN	0.018289846907835285
BFA	0.01722739550127301
BGD	0.04544418766634332
BGR	0.019408290528630415
BHR	0.0078612902596025
BHS	0.0051927386682196494
BIH	0.019864303514379584
BLR	0.011238139571462996
BMU	0.004487120594578106
BOL	0.01783085498913905
BRA	0.01511802892407329
BRN	0.0019941219175918148
BWA	0.00403634555979437
CAN	0.024133146186181797
CHE	0.04145245268142012
CHL	0.023476641021985486
CHN	0.05122875556064465
CIV	0.019051208592866367
CMR	0.012715605836118183
COD	0.012490631231536322
COG	0.008804732645832345
COL	0.007979462899940766
CRI	0.010398643295362942
CUB	0.00705395311655459
CUW	0.00926740876991783
CYP	0.009492644404312042
CZE	0.02913334823524941
DEU	0.060670161467617306
DJI	0.01276924687170157
DNK	0.015397594872458965
DOM	0.028381247562198182
DZA	0.003167330700139836
ECU	0.018952327810085927
EGY	0.036491825915361716
ESP	0.016015684337748515
EST	0.011646891125249964
ETH	0.03278429341277887
FIN	0.0233626932052295
FJI	0.021453974044197986
FRA	0.0209243981454119
GAB	0.00633648224385593
GBR	0.029401013575825495
GEO	0.013169283383559972
GHA	0.02157174562351575
GIB	0.003732392311825677
GIN	0.010209275167169815
GNQ	0.003421800548622367
GRC	0.020529074109839823
GTM	0.031012069680842778
GUY	0.01179281099974337
HKG	0.04803468513020062
HND	0.030362571550009727
HRV	0.015046968351848084
HTI	0.025074575231569127
HUN	0.015163286611444334
IDN	0.03377765271246166
IND	0.022611357714812846
IRL	0.01592565300917969
IRN	0.02766086615101739
IRQ	0.0026776146290519976
ISL	0.009012677420952662
ISR	0.008146958248835852
ITA	0.027048732074388758
JAM	0.016502198190240944
JOR	0.019752547042082087
JPN	0.06338751937292207
KAZ	0.020554636571466806
KEN	0.029506807946062318
KGZ	0.02133840966055872
KHM	0.03878097452916171
KOR	0.02536168508089259
KWT	0.0074512986230196605
LAO	0.026930207179099587
LBN	0.02166533654052331
LBR	0.0061824713733080235
LBY	0.005986855484215818
LKA	0.041239974449989864
LTU	0.020770523245252366
LUX	0.00932730769168027
LVA	0.01745105107830352
MAC	0.03014334212239915
MAR	0.04591722101445686
MDA	0.02708646505274241
MDG	0.03356229664841301
MEX	0.010174029338035854
MHL	0.006941260302881728
MKD	0.023627790348057152
MLI	0.011142316851082542
MLT	0.004517294699445003
MMR	0.029478243091176876
MNE	0.015700464373144186
MNG	0.010812998913965397
MOZ	0.020299120871102676
MRT	0.010575397368268702
MUS	0.024657413703591105
MWI	0.018136590972014706
MYS	0.019543859754798137
NAM	0.020213537744739288
NCL	0.009457923483982923
NER	0.013068316144946763
NGA	0.011491520534615137
NIC	0.030721419847159218
NLD	0.02620146409419614
NOR	0.012566537297770278
NPL	0.028973776427956368
NZL	0.021086973558488133
OMN	0.011813197759903664
PAK	0.048661900299709696
PAN	0.024958604124593834
PER	0.029028002225382737
PHL	0.01974681835790044
PNG	0.012164993874992336
POL	0.021674929656034445
PRK	0.017676115175284585
PRT	0.02406288598964184
PRY	0.017750370027908465
PSE	0.018931063778429676
QAT	0.011629207964480208
ROU	0.01825409343529469
RUS	0.024440698603590605
SAU	0.008770120783080771
SDN	0.020383505540923903
SEN	0.025183878842508233
SGP	0.028526292506317864
SLV	0.025217334513976872
SRB	0.01947992177173143
SUR	0.009880212892678158
SVK	0.012994116771153747
SVN	0.02038731517501772
SWE	0.025809457647015078
SWZ	0.010021797625342117
SYR	0.04211273572514683
TCD	0.008110978241387994
TGO	0.0209414971359359
THA	0.017596938624026257
TJK	0.016965972312393742
TKM	0.009352269502589433
TTO	0.007704042553801459
TUN	0.02752086977596543
TUR	0.02880876675647336
TZA	0.03440029162731383
UGA	0.026454537780413023
UKR	0.022504650890232118
URY	0.017292866476407365
USA	0.03398913366213957
UZB	0.01986548294079523
VEN	0.016581879055226498
VGB	0.005256045464719843
VNM	0.039189099066857025
YEM	0.014302652878575633
ZAF	0.02368982683924571
ZMB	0.01799890642404646
ZWE	0.019692480839896352
