exporter	eci_rca	eci_rpop	fitness12_rca	fitness12_rpop
ABW	0.12258465171219068	0.8387878925619124	0.10350666201220533	0.7454918280915097
AFG	-0.8652560852232174	-1.6565643472289298	0.20583335748980575	0.003582342808110031
AGO	-1.2055062760775794	-0.9843996789126621	4.41029806448811e-05	0.001116058547275901
ALB	-0.31160490188829276	0.06378785309429898	0.5314689395166934	0.2532600399159826
ARE	0.19025496939102265	0.7996574522437463	0.3737233451575665	3.0800787997149683
ARG	0.24913208597676453	0.5126835886223504	0.8766404052730389	0.7998838259516383
ARM	0.24970079038074888	0.12531328333289216	0.5100145917242238	0.1631249033332158
AUS	-0.3500973355212131	0.7609171267261254	0.4390909503299246	2.208758246862225
AUT	1.711729345450817	0.8728755243678541	4.001948530955949	3.5033768807505807
AZE	-1.1029549694639869	-0.2344384207987667	0.02457447207365001	0.06239773674444073
BEL	1.2320035877718651	0.803999172028867	3.3038485454884903	3.576322321971475
BEN	-0.8694197561837589	-1.4084974637864012	0.09360305591688248	0.006554222282589081
BFA	-1.146868414734153	-2.9313291058001525	0.07252878053021972	0.001201398345822681
BGD	-0.8278848708005752	-0.17119266343176168	0.24298491337530492	0.04696421937385613
BGR	0.6094979122318307	0.7973071485232726	1.7857995681724472	2.3287022902310106
BHR	0.3353073593161032	0.7749997174051514	0.34237557470347835	1.166136032545204
BHS	0.309811682327568	0.7760546572238833	0.07921394262693728	0.43793395858914735
BIH	0.5233437804328575	0.5389598952800259	1.2381869565075934	0.8148562856836353
BLR	1.102918735326936	0.8654851179999951	1.588517603079271	1.5350453459103786
BMU	0.8670284549845396	0.9270912898092762	0.20822860638734192	0.3167074452408412
BOL	-0.7093452868279376	-0.5893666591527692	0.17925163419223078	0.10252960409421692
BRA	0.5232697270997729	0.6329799745296794	1.071312040046827	0.9141418192771481
BRN	-2.54801966179898	0.6870818899823987	1.1506608725228162e-07	0.46581465844011827
BWA	-0.22021192134767298	0.1980721572420227	0.06832717769658304	0.1605141604076721
CAN	0.6462871951985006	0.8535120707527614	1.2148511748573882	2.8678478876245563
CHE	2.2526314874527134	0.9063875794940495	2.857309237284317	3.347814714616039
CHL	-0.1888161687174561	0.5306505417450468	0.5082642526495026	0.9461657929038695
CHN	1.1931492064453773	1.034077491907324	5.43660145538491	2.640729988049818
CIV	-0.7019925477907849	-0.7896478078733852	0.1581558107524071	0.060782017805945866
CMR	-0.8191203983192917	-1.676421312261083	0.06919956970629995	0.0073218574163137935
COD	-1.2312993470802631	-1.3506436019322832	0.04052336384198826	0.004331002674217595
COG	-1.1527118437597625	-0.4250873284014207	0.021746866696093686	0.0627673344126498
COL	0.24126951461989488	0.40082508054370175	0.4674590216030339	0.3810063426852388
CRI	0.14649611006830654	0.489113071582047	0.33311136354260334	0.8090743468417022
CUB	0.07109747029328954	-0.18532541263781335	0.27902521417129794	0.02468339779165013
CUW	-0.5518860635244335	0.7492581771184662	0.02006349733008142	0.8992352794273435
CYP	0.6902910794476562	0.7144160473327128	1.0057941286535943	1.6498827999171695
CZE	1.7947304350408442	0.9046829931771936	3.9310802040260997	3.3608118875161135
DEU	2.031964823823454	0.8354172683549778	5.902063016581434	3.581088752570969
DJI	-0.4626645720215498	-1.558377724805967	0.15934122095785333	0.006362026943922464
DNK	1.1856892059005473	0.8849170714698517	2.8094767638717517	3.2799868736207958
DOM	-0.11339715273285692	0.09608170590888702	0.7255617145284864	0.38011373542864285
DZA	-1.5117157705733746	-0.6231872638523853	0.0003606594263191881	0.013236034952391132
ECU	-0.6738463946333697	-0.08727976546070113	0.18229150354665374	0.21323159730441066
EGY	-0.11432347216242697	0.062378893326431296	1.1130576265251764	0.3278788756327684
ESP	0.9322768227872706	0.8261552961769221	3.5380340462067057	3.328057031506317
EST	1.0214537353413315	0.878376646950412	2.1739077671062823	2.9395059708666222
ETH	-0.9968619762716697	-2.4380514126973925	0.22711491199135722	0.0012008900231124235
FIN	1.6788676785318901	0.9467389188273606	2.4596674486817793	2.9189788660508103
FJI	-0.5090852333128709	-0.07817095194480712	0.29705820383590836	0.15830289580006318
FRA	1.495082581108801	0.8636576856999802	4.052043429595559	3.5169491860225737
GAB	-1.2118052382707476	-0.46912626678156916	0.002632214132943561	0.03006356819861002
GBR	1.7503222638147355	0.8743830699191457	3.1492874172003607	3.3881171204853104
GEO	-0.13147537394451253	0.03287208009230123	0.3284977087575526	0.17484218708681482
GHA	-0.8166359288753362	-0.8486863167197675	0.1658004138416264	0.05010217741305521
GIB	0.5216881763707787	0.8162813027371226	0.04502555677379704	0.34753297328253097
GIN	-1.6343146923038792	-2.312087738438613	0.01690914930159166	0.001224468119740873
GNQ	-1.716818825125474	-0.37814249425356244	1.7953233666029018e-06	0.0186817014863504
GRC	0.271474070908466	0.5951349571297437	1.0846687127260963	1.5334036177956412
GTM	-0.13745281335991733	0.059823941777975446	0.7405283762959417	0.3246207451702387
GUY	-0.7966769066589618	-0.46656093789576264	0.06016579694987166	0.06627284507148451
HKG	0.9168511436390151	0.8844822064136224	2.8598547740850138	3.211728991174179
HND	-0.40096686298076883	-0.10660316630074573	0.500220785079108	0.23700799111869852
HRV	0.9104454203156839	0.7794051491909406	1.6719060284264553	1.7310832783383596
HTI	-0.9877438375202673	-0.8554362323956103	0.11081908868192791	0.010706081419422874
HUN	1.515064456339714	0.9099061205923379	2.4072536670886144	2.9258304167158102
IDN	0.01611452967484667	0.3481099617850921	1.4091362404883776	0.6461187739970776
IND	0.2973526221362942	-0.06492198164548871	1.8210728110135663	0.20997442568988786
