exporter	ann_rpop
ABW	0.6545593396083399
AFG	2.0463436253142464
AGO	2.0982736370674013
ALB	0.9653535308552297
ARE	0.27605080640879776
ARG	0.7306703717222864
ARM	1.0710213951874252
AUS	0.3763986047773428
AUT	0.3010987689617865
AZE	1.284017606479281
BEL	0.2473888859076386
BEN	1.9208849619975394
BFA	2.6547272847150754
BGD	1.9224243871275093
BGR	0.3770249241194793
BHR	0.5345146093444639
BHS	0.8386837996851594
BIH	0.5747498005313273
BLR	0.4872311380502175
BMU	1.0138951724912733
BOL	1.0700997901614009
BRA	0.8350431906361723
BRN	0.9088411122244858
BWA	1.0187166035316806
CAN	0.4449783769901641
CHE	0.42088153050424754
CHL	0.6344206376553532
CHN	0.4836861864490111
CIV	1.233767117523188
CMR	1.7842735336217896
COD	1.938694417990107
COG	1.236123283115581
COL	0.8653171497999679
CRI	0.5287687375163479
CUB	1.519396734919605
CUW	0.5707405453968591
CYP	0.4173080174417887
CZE	0.3550454812963194
DEU	0.28138168359830484
DJI	1.3866025242140045
DNK	0.35251676003030286
DOM	0.793015758224263
DZA	1.9501714053119887
ECU	0.9166668758628531
EGY	0.906272596625065
ESP	0.2275264198276972
EST	0.37519547325693225
ETH	1.974757255415238
FIN	0.5055969650026398
FJI	1.0836955148841207
FRA	0.31446002580002735
GAB	1.5036192453431216
GBR	0.4053149548068275
GEO	0.9601761217185814
GHA	1.3863795791847893
GIB	0.8065334537681711
GIN	2.252881713493038
GNQ	1.8581283651025273
GRC	0.49026359271829006
GTM	0.909712314671886
GUY	1.0372528169393556
HKG	0.40583410843847373
HND	1.0551506398743151
HRV	0.4143991923038117
HTI	2.1543693711422116
HUN	0.4157433327764059
IDN	0.8727446693141012
IND	1.3779986551195385
IRL	0.46403438698283983
IRN	1.05191175455629
IRQ	2.26770575441583
ISL	0.6523456546226793
ISR	0.5026121904475693
ITA	0.3317103869880761
JAM	1.2547019307977214
JOR	0.8572114939672433
JPN	0.768450932245207
KAZ	0.8837322536366907
KEN	1.5491131211485805
KGZ	1.0497276472383288
KHM	1.5541592477510702
KOR	0.5738632823501588
KWT	0.7093168322575163
LAO	1.0049514242030446
LBN	0.8069541000854593
LBR	1.8543359747478627
LBY	1.6449131613779227
LKA	1.0748881852272925
LTU	0.35099393441402643
LUX	0.40415931254676846
LVA	0.26264982364250267
MAC	0.7220078898099754
MAR	1.0284177647688173
MDA	0.9315404641251812
MDG	1.5515334247822332
MEX	0.7932816789780254
MHL	1.1742062766855201
MKD	0.6164604377033022
MLI	2.0936261501013864
MLT	0.7306198876088076
MMR	1.3399923982702897
MNE	0.9845412051381311
MNG	1.2901108458826083
MOZ	1.374114914249101
MRT	1.9399179500173636
MUS	0.7709108567368681
MWI	1.8969660302387314
MYS	0.4591970357415632
NAM	0.8126984927911372
NCL	1.101836631758167
NER	2.237388588524713
NGA	1.4846096280880379
NIC	1.0882459137551055
NLD	0.25504449326561995
NOR	0.6361401559901247
NPL	1.773740842824248
NZL	0.44513261536916987
OMN	0.6397143753654094
PAK	1.2648052141831496
PAN	0.4758145601320774
PER	0.8402613958252367
PHL	1.1212926694852998
PNG	1.331195407730521
POL	0.31898605752051545
PRK	1.5330766473785828
PRT	0.2979585016172659
PRY	1.0283463639352195
PSE	1.0400793624513247
QAT	0.8233418285758022
ROU	0.6056680140081501
RUS	0.740096678987324
SAU	0.6421537965843089
SDN	1.6111799678975376
SEN	1.3548131609446763
SGP	0.34405459317954096
SLV	0.9235572483677763
SRB	0.445531693568207
SUR	1.0732906452244373
SVK	0.41632116528796553
SVN	0.3886325355206362
SWE	0.37093181699391253
SWZ	0.7327483409579686
SYR	1.4515283281401345
TCD	2.92729350858719
TGO	1.2738736443585266
THA	0.47113471082008307
TJK	2.086191322202784
TKM	1.464539457841015
TTO	0.8015739955932748
TUN	0.7606882683860408
TUR	0.38667323719052654
TZA	1.5881007830831855
UGA	2.0528847931994463
UKR	0.6371811106651326
URY	0.6530257796236708
USA	0.4492498208435595
UZB	1.2224342688258318
VEN	1.5485665844370111
VGB	0.6617377047476408
VNM	0.7470145080224252
YEM	1.9495148401614308
ZAF	0.6237310295903692
ZMB	1.095789261109622
ZWE	1.3609191600985728
