prod	ann_rca
0102	0.48252712458018343
0104	0.37895174757786665
0201	0.5553623994574071
0202	1.8587618948096636
0204	1.0304219770179173
0206	1.2747857183246691
1008	0.9093223448169758
1205	0.2624466499766072
2612	0.1168699811874238
4102	1.1650317366963923
0106	2.759903942368672
0701	0.6757148405034
0704	0.30457703551078136
0707	0.2625790535447743
0809	0.5978400349509851
0813	1.264562460912922
1001	1.7461775634645949
1301	2.8271871677270455
2204	1.5903668155988357
2515	1.0704050353383228
2602	1.2851741095360487
4103	1.3078759505089466
4105	2.0446247604269976
4106	1.4759256782077332
5202	1.0119148425819235
5702	1.1641933752303386
6405	1.297747699414138
7108	2.968563669855051
7206	0.31999536253663186
0305	1.6473843111320448
0603	1.824343829074958
0703	0.7918333160855785
0708	1.067127938133225
0713	3.7786967849418365
0801	3.031135514709128
0804	4.625980407846605
1006	3.528849645142019
1101	1.1277878408606161
1202	1.3769722943884137
1207	5.227103919356782
1209	1.989399781516556
1212	1.6180474830257396
1511	0.9790335072876056
2207	0.6217310637708395
2523	1.4194987594049537
2610	0.21689227161159166
2615	0.6903046845269629
2709	16.449502798945915
5201	5.879655394702104
9706	0.7020594483542847
2510	1.0908751313470813
6103	1.9053520958081682
2605	0.1753309301329884
0101	0.40587008021851384
0208	0.33251815183178984
0402	2.7000559758251805
0404	0.5683834892473643
0405	0.9943965459574365
1109	0.1079396366882108
1502	0.26551473303445466
1901	1.5754208625295423
2004	0.3130197318621832
2844	0.4448903726737419
2937	0.20421973223887405
3002	1.8279884011636012
3501	0.2661035200773739
3502	0.19532897379921554
3504	0.20624410055282197
3507	0.7287585874358824
3703	0.2673629575781289
3707	0.384047984691508
3815	0.6473002115258784
3819	0.5755633225071654
3822	1.4533914060125988
9021	0.9947444064021467
0203	0.4840387279375765
0511	1.109391238882167
1201	0.6777800394572389
1602	1.0453217711692357
2301	1.8213931853496266
3503	0.3481003950514827
1005	1.3042876249090016
1007	0.24942725660099588
1102	0.8215539974971243
2304	0.5716960421791145
2401	7.244314140024756
2829	0.17852372575901945
3301	1.502201249868936
3808	1.9095243247787637
4104	1.9355315390043817
0209	0.14437471221919257
0210	0.37687242810607025
1501	0.07501684652613548
8802	2.2793613379252844
0303	7.646839467713035
0307	2.289155174524974
0409	0.7412727976221682
0710	0.800836675594803
0712	0.7149802063518118
2501	0.9157083608164513
2603	0.8448772009833032
2607	0.38737130558249
2620	0.5880049732121734
4101	1.309086827863128
4107	1.1210588604030207
4302	0.5860207913964202
5101	0.5432589867352691
7402	0.34516622252113693
0504	1.5680792535581187
1214	0.3553479700736067
4703	0.4180805111147013
9015	4.7261302520475565
2604	0.13868725025143785
7501	0.18464776398228172
0301	1.4384346022867824
0302	2.1887674556481658
0306	2.2728603673479304
1211	3.2906157099835234
1513	0.794944907979804
2606	1.1318979921490377
4602	0.8967323105983953
5608	0.9764327595396266
6201	1.899187773954287
7101	0.2858798722169647
9114	0.2005241802437334
9507	0.7020406830331959
4001	2.871342405676426
6704	0.6921226150346087
8522	0.27059145191132733
8532	0.555045581444138
8541	0.6879188348431465
0304	2.593467415606248
