exporter	ann_rca
ABW	1.276049731521405
AFG	1.1305738716065379
AGO	2.524447044986547
ALB	0.8716093410497049
ARE	0.8225332276450421
ARG	0.7299181037223552
ARM	0.8059287240524817
AUS	0.999116190804197
AUT	0.48909209751971955
AZE	1.710989584183789
BEL	0.4531461258761444
BEN	1.1989678247913216
BFA	1.3278227269990068
BGD	1.3658190732174755
BGR	0.5081911273670728
BHR	0.8375611268041068
BHS	1.212621119608682
BIH	0.6113543447789737
BLR	0.5440257518242009
BMU	1.2129335054128303
BOL	1.1317370895467438
BRA	0.6739718406826487
BRN	3.335522605201546
BWA	1.248014975219441
CAN	0.675799796757109
CHE	0.9133160760097973
CHL	0.8971844696107181
CHN	0.4920273030090967
CIV	1.0468864450800757
CMR	1.1765382852271464
COD	1.4419471888392281
COG	1.5127438149896593
COL	0.7696483766391433
CRI	0.917060915889984
CUB	0.9773554157490126
CUW	1.6037023377097646
CYP	0.5844829922556057
CZE	0.5277549139705633
DEU	0.5520916011987894
DJI	1.111354286070132
DNK	0.39682848752115185
DOM	0.7179548876348752
DZA	2.0244486737620715
ECU	1.0768530395527611
EGY	0.6587595439909911
ESP	0.30176844384253
EST	0.4616687934941327
ETH	1.1929625683704712
FIN	0.6167369123003044
FJI	0.9016625672080312
FRA	0.4265334070067336
GAB	1.9658407883757678
GBR	0.6226950055072306
GEO	0.8400042460540176
GHA	1.0579680040954917
GIB	1.5370838080829272
GIN	1.5863058089458388
GNQ	2.621280046133423
GRC	0.5479896646241474
GTM	0.7094163264269432
GUY	1.2637207157267654
HKG	0.747279918813616
HND	0.8861494720742652
HRV	0.48042448239973223
HTI	1.4713135410324154
HUN	0.5575622983798773
IDN	0.7046028771575802
IND	0.576363842281441
IRL	0.8623824730864043
IRN	0.9513895952968136
IRQ	2.7688014385153226
ISL	0.9626933080396071
ISR	0.6045864411241393
ITA	0.36550132637454746
JAM	1.0103077634341986
JOR	0.6406831517768363
JPN	0.8665729801331226
KAZ	1.1333336085418533
KEN	0.7623759594860422
KGZ	0.7777686269937256
KHM	1.2691781311568875
KOR	0.7214578965066917
KWT	1.8954613703574839
LAO	1.0847151430077566
LBN	0.5383781133205415
LBR	1.5237482760293388
LBY	2.4185172346767536
LKA	0.9270203092712843
LTU	0.5215302312556244
LUX	0.5703590446465591
LVA	0.4976504756243161
MAC	0.7976656429970148
MAR	0.9291186784493569
MDA	0.7535975624998204
MDG	1.0388210559138304
MEX	0.6016136785803499
MHL	1.709871693662245
MKD	0.7472131525301495
MLI	1.4347709429187396
MLT	0.8159322615040707
MMR	1.1642075982714528
MNE	0.884551307065601
MNG	1.4582704029873974
MOZ	1.1357272745072642
MRT	1.7171487008872903
MUS	0.8268295625199661
MWI	1.0552131957176794
MYS	0.7109095110440912
NAM	0.91643622915051
NCL	1.5239865036540414
NER	1.3694057675840485
NGA	1.5189642071015181
NIC	1.0486152150490387
NLD	0.4780356580119422
NOR	0.8426984000166988
NPL	0.8102200780443226
NZL	0.7207042015109855
OMN	1.0466525936552311
PAK	0.9240111865024933
PAN	0.5929566196820637
PER	0.8603770437888261
PHL	0.7370577779032712
PNG	1.3998873012156585
POL	0.3924895960674248
PRK	0.9275557823894367
PRT	0.4018727999599247
PRY	1.0736241086329668
PSE	0.6114176257511109
QAT	1.9541289950568668
ROU	0.5296624650881231
RUS	0.9524711416680082
SAU	1.2972659452027246
SDN	1.5158591964098083
SEN	0.869695594431475
SGP	0.9411105915258638
SLV	0.7177448206102871
SRB	0.4840530064691173
SUR	1.2457777367289298
SVK	0.5867527817253722
SVN	0.5500901602154595
SWE	0.5541796046130417
SWZ	0.7533292417567112
SYR	0.811991223352359
TCD	2.4419153688729263
TGO	0.9570603881677336
THA	0.5075546938421508
TJK	1.1861925250254164
TKM	1.5202199066986473
TTO	1.6316698802584522
TUN	0.6248673590812095
TUR	0.4536272504443699
TZA	0.9029206729529249
UGA	0.7947324949223369
UKR	0.594120778483066
URY	0.7964247926859216
USA	0.5187515972032355
UZB	0.9473789607907518
VEN	1.8470417722437584
VGB	0.8443912203636607
VNM	0.7074017891749151
YEM	1.4081301130352502
ZAF	0.5958278331498261
ZMB	1.0024916058608533
ZWE	1.1263031312814098
