658	"0113"	"Pig meat fresh, chilled or frozen"	"4digit"	101
659	"0114"	"Poultry, dead and edible offal, fresh, chilled or frozen"	"4digit"	101
660	"0115"	"Meat of horses, asses, mules and hinnies, fresh, chilled or frozen"	"4digit"	101
661	"0116"	"Edible offal of headings 0011-5 and 0015, fresh, chilled or frozen"	"4digit"	101
662	"0118"	"Other fresh, chilled or frozen meat or edible meat offal"	"4digit"	101
663	"0121"	"Bacon, ham, other dried, salted or smoked meat of domestic swine"	"4digit"	101
664	"0129"	"Meat and edible meat offal, nes, in brine, dried, salted or smoked"	"4digit"	101
665	"0141"	"Meat extracts and juices; fish extracts"	"4digit"	101
666	"0142"	"Sausages and the like, of meat, meat offal or animal blood"	"4digit"	101
667	"0149"	"Other prepared or preserved meat or meat offal"	"4digit"	101
668	"0223"	"Milk and cream fresh, not concentrated or sweetened"	"4digit"	102
669	"0224"	"Milk and cream, preserved, concentrated or sweetened"	"4digit"	102
670	"0230"	"Butter"	"4digit"	102
671	"0240"	"Cheese and curd"	"4digit"	102
672	"0251"	"Eggs, birds', and egg yolks, fresh, dried or preserved, in shell"	"4digit"	102
673	"0252"	"Eggs, birds', egg yolks, fresh, dried or preserved, not in shell"	"4digit"	102
674	"0341"	"Fish, fresh or chilled, excluding fillet"	"4digit"	103
675	"0342"	"Fish, frozen, excluding fillets"	"4digit"	103
676	"0343"	"Fish fillets, fresh or chilled"	"4digit"	103
677	"0344"	"Fish fillets, frozen"	"4digit"	103
678	"0350"	"Fish, dried, salted or in brine; smoked fish"	"4digit"	103
679	"0360"	"Crustaceans and molluscs, fresh, chilled, frozen, salted, etc"	"4digit"	103
680	"0371"	"Fish, prepared or preserved, nes"	"4digit"	103
681	"0372"	"Crustaceans and molluscs, prepared or prepared, nes"	"4digit"	103
682	"0411"	"Durum wheat, unmilled"	"4digit"	104
683	"0412"	"Other wheat and meslin, unmilled"	"4digit"	104
684	"0421"	"Rice in the husk or husked, but not farther prepared"	"4digit"	104
685	"0422"	"Rice, semi-milled or wholly milled"	"4digit"	104
686	"0430"	"Barley, unmilled"	"4digit"	104
687	"0440"	"Maize, unmilled"	"4digit"	104
688	"0451"	"Rye, unmilled"	"4digit"	104
689	"0452"	"Oats, unmilled"	"4digit"	104
690	"0459"	"Buckwheat, millet, etc, and other cereals, unmilled, nes"	"4digit"	104
691	"0460"	"Meal and flour of wheat and flour of meslin"	"4digit"	104
692	"0470"	"Other cereal meals and flour"	"4digit"	104
693	"0481"	"Cereal grains, worked or prepared, not elsewhere specified"	"4digit"	104
694	"0482"	"Malt, roasted or not, including flour"	"4digit"	104
695	"0483"	"Macaroni, spaghetti and similar products"	"4digit"	104
696	"0484"	"Bakery products"	"4digit"	104
697	"0488"	"Malt extract; cereals preparations with less 50% of cocoa"	"4digit"	104
698	"0541"	"Potatoes, fresh or chilled, excluding sweet potatoes"	"4digit"	105
699	"0542"	"Beans, peas, other leguminous vegetables, dried, shelled"	"4digit"	105
700	"0544"	"Tomatoes, fresh or chilled"	"4digit"	105
701	"0545"	"Other fresh or chilled vegetables"	"4digit"	105
702	"0546"	"Vegetables, frozen or in temporary preservative"	"4digit"	105
703	"0548"	"Vegetable products roots and tubers, nes, fresh, dried"	"4digit"	105
704	"0561"	"Vegetables (excluding leguminous), dried, evaporated, etc"	"4digit"	105
705	"0564"	"Flour, meals and flakes of potatoes, fruit and vegetables, nes"	"4digit"	105
706	"0565"	"Vegetables, prepared or preserved, nes"	"4digit"	105
707	"0571"	"Oranges, mandarins, etc, fresh or dried"	"4digit"	105
708	"0572"	"Other citrus fruits, fresh or dried"	"4digit"	105
709	"0573"	"Banana, plantain, fresh or dried"	"4digit"	105
710	"0574"	"Apples, fresh"	"4digit"	105
711	"0575"	"Grapes, fresh or dried"	"4digit"	105
712	"0576"	"Figs, fresh or dried"	"4digit"	105
713	"0577"	"Nuts edible, fresh or dried"	"4digit"	105
714	"0579"	"Fruit, fresh or dried, nes"	"4digit"	105
715	"0582"	"Fruit, fruit-peel and parts of plants, preserved by sugar"	"4digit"	105
716	"0583"	"Jams, jellies, marmalades, etc, as cooked preparations"	"4digit"	105
717	"0585"	"Fruit or vegetable juices"	"4digit"	105
718	"0586"	"Fruit, temporarily preserved"	"4digit"	105
719	"0589"	"Fruit prepared or preserved, nes"	"4digit"	105
720	"0611"	"Sugars, beet and cane, raw, solid"	"4digit"	106
721	"0612"	"Refined sugar etc"	"4digit"	106
722	"0615"	"Molasses"	"4digit"	106
723	"0616"	"Natural honey"	"4digit"	106
724	"0619"	"Sugars and syrups nes; artificial honey; caramel"	"4digit"	106
725	"0620"	"Sugar confectionery and preparations, non-chocolate"	"4digit"	106
726	"0711"	"Coffee green, roasted; coffee substitutes containing coffee"	"4digit"	107
727	"0712"	"Coffee extracts, essences or concentrates"	"4digit"	107
728	"0721"	"Cocoa beans, raw, roasted"	"4digit"	107
729	"0722"	"Cocoa powder, unsweetened"	"4digit"	107
730	"0723"	"Cocoa butter and paste"	"4digit"	107
731	"0730"	"Chocolate and other preparations containing cocoa, nes"	"4digit"	107
732	"0741"	"Tea"	"4digit"	107
733	"0742"	"Mate"	"4digit"	107
734	"0751"	"Pepper of \"piper\"; pimento of \"capsicum or pimenta\""	"4digit"	107
735	"0752"	"Spices, except pepper and pimento"	"4digit"	107
736	"0811"	"Hay and fodder, green or dry"	"4digit"	108
737	"0812"	"Bran, sharps and other residues derives of cereals"	"4digit"	108
738	"0813"	"Oilcake and other residues (except dregs)"	"4digit"	108
739	"0814"	"Flours and meals, of meat, fish,etc, unfit for human; greaves"	"4digit"	108
740	"0819"	"Food waste and prepared animal feed, nes"	"4digit"	108
741	"0913"	"Lard, pig and poultry fat, rendered or solvent-extracted"	"4digit"	109
742	"0914"	"Margarine, imitation lard and other prepared edible fats, nes"	"4digit"	109
743	"0980"	"Edible products and preparations, nes"	"4digit"	109
744	"1110"	"Non-alcoholic beverages, nes"	"4digit"	110
745	"1121"	"Wine of fresh grapes etc"	"4digit"	110
746	"1122"	"Other fermented beverages, nes (cider, perry, mead, etc)"	"4digit"	110
747	"1123"	"Beer made from malt (including ale, stout and porter)"	"4digit"	110
748	"1124"	"Distilled alcoholic beverages, nes"	"4digit"	110
749	"1211"	"Tobacco, not stripped"	"4digit"	111
750	"1212"	"Tobacco, wholly or partly stripped"	"4digit"	111
751	"1213"	"Tobacco refuse"	"4digit"	111
752	"1221"	"Cigars, cheroots: cigarillos"	"4digit"	111
753	"1222"	"Cigarettes"	"4digit"	111
754	"1223"	"Tobacco, manufactured; tobacco extract and essences"	"4digit"	111
755	"2111"	"Bovine and equine hides, raw, whether or not split"	"4digit"	112
756	"2112"	"Calf skins, raw, whether or not split"	"4digit"	112
757	"2114"	"Goat and kid skins, raw, whether or not split"	"4digit"	112
